(73, 39289, 89, 30, 30, 0, 27, 24, 1, 9, 5, 2, 8, 8, 3, 3, 3, 4, 5, 4, 17, 22, 22, 19, 19, 19, 20, 0, 0, 21, 2, 2, 42, 4, 4, 43, 0, 0, 49, 39, 39, 59, 25, 25)
(73, 39289, 89, 41, 41, 0, 35, 28, 1, 15, 11, 2, 11, 11, 3, 6, 5, 4, 7, 5, 17, 28, 28, 19, 20, 20, 20, 0, 0, 21, 2, 2, 42, 15, 15, 43, 7, 7, 49, 50, 50, 59, 32, 32)
(73, 39289, 17, 38, 38, 19, 23, 23, 20, 2, 2, 21, 2, 2, 42, 26, 26, 43, 10, 10, 49, 59, 59, 59, 42, 42, 89, 48, 48, 0, 42, 33, 1, 18, 14, 2, 15, 14, 3, 11, 9, 4, 7, 5)
(73, 39289, 21, 3, 3, 42, 37, 37, 43, 15, 15, 49, 69, 69, 59, 50, 50, 89, 59, 59, 0, 52, 41, 1, 22, 17, 2, 17, 15, 3, 14, 12, 4, 8, 6, 17, 43, 43, 19, 25, 25, 20, 2, 2)
(73, 39289, 49, 78, 78, 59, 59, 59, 89, 67, 67, 0, 58, 46, 1, 22, 17, 2, 18, 16, 3, 15, 13, 4, 9, 7, 17, 50, 50, 19, 27, 27, 20, 2, 2, 21, 3, 3, 42, 47, 47, 43, 19, 19)
(73, 39289, 17, 57, 57, 19, 32, 32, 20, 4, 4, 21, 5, 5, 42, 57, 57, 43, 21, 21, 49, 86, 86, 59, 66, 66, 89, 78, 78, 0, 68, 54, 1, 26, 19, 2, 19, 17, 3, 18, 15, 4, 11, 8)
(73, 39289, 21, 5, 5, 42, 66, 66, 43, 29, 29, 49, 95, 95, 59, 73, 73, 89, 83, 83, 0, 72, 57, 1, 28, 20, 2, 23, 19, 3, 21, 18, 4, 12, 9, 17, 64, 64, 19, 34, 34, 20, 4, 4)
(73, 39289, 89, 92, 92, 0, 79, 61, 1, 30, 22, 2, 27, 23, 3, 23, 20, 4, 15, 11, 17, 73, 73, 19, 36, 36, 20, 4, 4, 21, 5, 5, 42, 76, 76, 43, 29, 29, 49, 103, 103, 59, 80, 80)
(73, 39289, 21, 6, 6, 42, 86, 86, 43, 37, 37, 49, 112, 112, 59, 83, 83, 89, 103, 103, 0, 87, 66, 1, 33, 25, 2, 31, 26, 3, 27, 20, 4, 21, 16, 17, 79, 79, 19, 38, 38, 20, 5, 5)
(73, 39289, 17, 89, 89, 19, 42, 42, 20, 5, 5, 21, 6, 6, 42, 97, 97, 43, 39, 39, 49, 120, 120, 59, 92, 92, 89, 110, 110, 0, 93, 70, 1, 34, 26, 2, 35, 30, 3, 30, 23, 4, 25, 20)
(73, 39289, 89, 120, 120, 0, 101, 75, 1, 38, 29, 2, 39, 34, 3, 32, 25, 4, 27, 22, 17, 95, 95, 19, 43, 43, 20, 6, 6, 21, 6, 6, 42, 108, 108, 43, 46, 46, 49, 130, 130, 59, 97, 97)
(73, 39289, 43, 49, 49, 49, 140, 140, 59, 106, 106, 89, 129, 129, 0, 109, 81, 1, 42, 32, 2, 41, 36, 3, 33, 26, 4, 29, 24, 17, 105, 105, 19, 46, 46, 20, 6, 6, 21, 6, 6, 42, 119, 119)
(73, 39289, 59, 112, 112, 89, 138, 138, 0, 117, 87, 1, 47, 36, 2, 42, 37, 3, 34, 27, 4, 30, 25, 17, 110, 109, 19, 48, 48, 20, 7, 7, 21, 6, 6, 42, 128, 128, 43, 53, 53, 49, 149, 149)
(73, 39289, 59, 120, 120, 89, 146, 146, 0, 123, 92, 1, 51, 39, 2, 43, 38, 3, 35, 28, 4, 33, 28, 17, 114, 113, 19, 48, 48, 20, 7, 7, 21, 6, 6, 42, 137, 137, 43, 59, 59, 49, 158, 158)
(73, 39289, 89, 155, 155, 0, 130, 97, 1, 54, 42, 2, 46, 41, 3, 36, 28, 4, 34, 29, 17, 123, 122, 19, 51, 51, 20, 7, 7, 21, 6, 6, 42, 146, 146, 43, 59, 59, 49, 165, 165, 59, 127, 127)
(73, 39289, 89, 165, 161, 0, 137, 102, 1, 57, 43, 2, 48, 43, 3, 37, 29, 4, 37, 32, 17, 127, 126, 19, 54, 54, 20, 8, 8, 21, 7, 7, 42, 156, 156, 43, 68, 68, 49, 174, 174, 59, 134, 134)
(73, 39289, 89, 173, 169, 0, 141, 106, 1, 59, 44, 2, 52, 47, 3, 41, 33, 4, 42, 37, 17, 138, 137, 19, 54, 54, 20, 8, 8, 21, 7, 7, 42, 167, 167, 43, 69, 69, 49, 185, 185, 59, 143, 143)
(73, 39289, 49, 193, 193, 59, 148, 148, 89, 183, 179, 0, 150, 112, 1, 62, 47, 2, 53, 47, 3, 44, 36, 4, 45, 40, 17, 142, 141, 19, 57, 57, 20, 10, 10, 21, 8, 8, 42, 177, 177, 43, 75, 75)
(73, 39289, 21, 8, 8, 42, 186, 186, 43, 78, 78, 49, 202, 202, 59, 157, 157, 89, 191, 187, 0, 156, 117, 1, 65, 49, 2, 54, 48, 3, 44, 36, 4, 48, 43, 17, 151, 150, 19, 59, 59, 20, 10, 10)
(73, 39289, 89, 202, 197, 0, 163, 122, 1, 68, 52, 2, 59, 52, 3, 49, 40, 4, 52, 46, 17, 160, 159, 19, 62, 62, 20, 11, 11, 21, 9, 9, 42, 198, 198, 43, 82, 82, 49, 211, 211, 59, 160, 160)
(73, 39289, 21, 9, 9, 42, 207, 207, 43, 88, 88, 49, 219, 219, 59, 167, 167, 89, 211, 203, 0, 168, 125, 1, 71, 54, 2, 63, 56, 3, 51, 42, 4, 54, 48, 17, 169, 168, 19, 64, 64, 20, 11, 11)
(73, 39289, 59, 173, 173, 89, 222, 213, 0, 175, 130, 1, 74, 55, 2, 68, 60, 3, 56, 47, 4, 57, 50, 17, 178, 177, 19, 68, 68, 20, 11, 11, 21, 10, 10, 42, 219, 219, 43, 90, 90, 49, 229, 229)
(73, 39289, 17, 182, 181, 19, 68, 68, 20, 11, 11, 21, 10, 10, 42, 228, 228, 43, 98, 98, 49, 238, 238, 59, 180, 180, 89, 231, 221, 0, 181, 134, 1, 76, 55, 2, 71, 63, 3, 58, 49, 4, 58, 51)
(73, 39289, 17, 192, 191, 19, 72, 72, 20, 12, 12, 21, 10, 10, 42, 238, 238, 43, 98, 98, 49, 246, 246, 59, 189, 189, 89, 241, 231, 0, 185, 138, 1, 79, 58, 2, 74, 66, 3, 61, 52, 4, 60, 53)
(73, 39289, 59, 197, 197, 89, 250, 240, 0, 192, 145, 1, 81, 58, 2, 78, 69, 3, 63, 54, 4, 65, 57, 17, 196, 195, 19, 73, 73, 20, 13, 13, 21, 10, 10, 42, 249, 249, 43, 107, 107, 49, 254, 254)
(73, 39289, 49, 265, 265, 59, 205, 205, 89, 259, 246, 0, 199, 149, 1, 84, 60, 2, 80, 71, 3, 65, 56, 4, 69, 61, 17, 207, 206, 19, 77, 77, 20, 13, 13, 21, 10, 10, 42, 260, 260, 43, 108, 108)
(73, 39289, 17, 213, 212, 19, 79, 79, 20, 14, 14, 21, 10, 10, 42, 269, 269, 43, 114, 114, 49, 271, 271, 59, 210, 210, 89, 269, 255, 0, 207, 152, 1, 88, 63, 2, 84, 75, 3, 70, 60, 4, 72, 64)
(73, 39289, 17, 220, 219, 19, 81, 81, 20, 14, 14, 21, 10, 10, 42, 278, 278, 43, 118, 118, 49, 279, 279, 59, 219, 219, 89, 276, 262, 0, 213, 156, 1, 92, 66, 2, 86, 77, 3, 71, 61, 4, 72, 64)
(73, 39289, 89, 285, 270, 0, 222, 163, 1, 96, 70, 2, 88, 79, 3, 71, 61, 4, 74, 66, 17, 229, 228, 19, 82, 82, 20, 14, 14, 21, 10, 10, 42, 288, 288, 43, 120, 120, 49, 288, 288, 59, 225, 225)
(73, 39289, 89, 294, 278, 0, 227, 165, 1, 98, 71, 2, 92, 83, 3, 74, 64, 4, 77, 69, 17, 235, 234, 19, 83, 83, 20, 14, 14, 21, 10, 10, 42, 298, 298, 43, 128, 128, 49, 298, 298, 59, 232, 232)
(73, 39289, 49, 307, 307, 59, 238, 238, 89, 304, 288, 0, 236, 173, 1, 100, 71, 2, 95, 86, 3, 77, 66, 4, 81, 73, 17, 245, 244, 19, 83, 83, 20, 14, 14, 21, 10, 10, 42, 308, 308, 43, 128, 128)
(73, 39289, 49, 316, 316, 59, 243, 243, 89, 314, 298, 0, 244, 178, 1, 105, 75, 2, 99, 88, 3, 83, 71, 4, 82, 74, 17, 247, 246, 19, 84, 84, 20, 14, 14, 21, 11, 11, 42, 318, 318, 43, 136, 136)
(73, 39289, 21, 11, 11, 42, 327, 327, 43, 137, 137, 49, 322, 322, 59, 253, 253, 89, 324, 306, 0, 250, 181, 1, 110, 79, 2, 102, 90, 3, 85, 73, 4, 86, 77, 17, 257, 256, 19, 87, 87, 20, 14, 14)
(73, 39289, 89, 334, 314, 0, 258, 187, 1, 114, 81, 2, 103, 90, 3, 88, 75, 4, 89, 80, 17, 263, 262, 19, 90, 89, 20, 17, 17, 21, 13, 13, 42, 338, 338, 43, 143, 143, 49, 331, 331, 59, 259, 259)
(73, 39289, 49, 341, 341, 59, 267, 267, 89, 343, 323, 0, 263, 191, 1, 115, 82, 2, 105, 92, 3, 91, 78, 4, 91, 82, 17, 272, 271, 19, 93, 92, 20, 17, 17, 21, 13, 13, 42, 349, 349, 43, 148, 148)
