(43, 45945, 61, 7, 7, 87, 11, 11, 0, 5, 5, 1, 1, 1, 2, 0, 0, 3, 1, 1, 4, 0, 0, 47, 20, 20)
(43, 45945, 47, 30, 30, 61, 16, 16, 87, 12, 12, 0, 9, 9, 1, 1, 1, 2, 0, 0, 3, 1, 1, 4, 0, 0)
(43, 45945, 61, 18, 18, 87, 20, 20, 0, 13, 13, 1, 1, 1, 2, 0, 0, 3, 1, 1, 4, 0, 0, 47, 41, 41)
(43, 45945, 47, 51, 51, 61, 25, 25, 87, 23, 23, 0, 17, 17, 1, 2, 2, 2, 0, 0, 3, 1, 1, 4, 0, 0)
(43, 45945, 61, 29, 29, 87, 29, 29, 0, 20, 20, 1, 3, 3, 2, 0, 0, 3, 1, 1, 4, 0, 0, 47, 62, 62)
(43, 45945, 87, 34, 34, 0, 22, 22, 1, 3, 3, 2, 0, 0, 3, 1, 1, 4, 0, 0, 47, 71, 71, 61, 33, 33)
(43, 45945, 47, 82, 82, 61, 40, 40, 87, 38, 38, 0, 27, 27, 1, 4, 4, 2, 0, 0, 3, 1, 1, 4, 0, 0)
(43, 45945, 47, 93, 93, 61, 42, 42, 87, 46, 46, 0, 30, 30, 1, 4, 4, 2, 0, 0, 3, 1, 1, 4, 1, 1)
(43, 45945, 47, 103, 103, 61, 50, 50, 87, 48, 48, 0, 34, 34, 1, 4, 4, 2, 0, 0, 3, 1, 1, 4, 1, 1)
(43, 45945, 47, 113, 113, 61, 50, 50, 87, 58, 58, 0, 38, 38, 1, 4, 4, 2, 0, 0, 3, 1, 1, 4, 1, 1)
(43, 45945, 47, 125, 125, 61, 60, 60, 87, 58, 58, 0, 42, 42, 1, 4, 4, 2, 0, 0, 3, 1, 1, 4, 1, 1)
(43, 45945, 61, 60, 60, 87, 69, 69, 0, 46, 46, 1, 5, 5, 2, 0, 0, 3, 1, 1, 4, 1, 1, 47, 136, 136)
(43, 45945, 47, 145, 145, 61, 68, 68, 87, 70, 70, 0, 49, 49, 1, 6, 6, 2, 0, 0, 3, 1, 1, 4, 1, 1)
(43, 45945, 47, 156, 156, 61, 70, 70, 87, 79, 79, 0, 53, 53, 1, 6, 6, 2, 0, 0, 3, 1, 1, 4, 1, 1)
(43, 45945, 61, 76, 76, 87, 82, 82, 0, 56, 56, 1, 6, 6, 2, 0, 0, 3, 1, 1, 4, 1, 1, 47, 166, 166)
